"","ID","allhazards_onset_avg_30","disaster_est_count_30_IA","normative_est_count_30_IA","allhazards_H9a_sev_exposure_30_IA","allhazards_nonfd_sev_exposure2_30_IA","cluster","eHRAF.Name","OWC","SCCS.ID","PSF.Cluster","new PSF cases","IBSS Sample","SRS.SEQ","EA.ID","SCCS/EA concordance","New Cases to Code","Coded for hazards (total sample)","EP Used","Place Focus Used","Documents used in Hazards 2022 coding","Expanded beyond PAs (per Hazards 2022)","Potential diachronic case","Diachronic details","New PSF cases (no PAs or EP previously assigned)","Coded for TL","Region","Subsistence Type","...23","...24","...25","...26","...27","...28","DO NOT USE [SCCS.Principal.Authorities (eHRAF document IDs)]","DQ"
"46",109,2,4,0,4.5,0.75,2,"Chuuk","OR19",109,"37",NA,1,NA,"If02","Y",NA,1,1947,"Romonum Island, Chuuk State, Federated States of Micronesia","20, 2",NA,1,"Y - PSF (2)",NA,"1","Oceania","other subsistence combinations",NA,NA,NA,NA,NA,NA,"1, 2, 3(partial), 12, 13, 18(partial), 19, 20(partial)",1
"47",110,1.5,4,0,6,0,2,"Yapese","OR22",110,NA,NA,1,NA,"If06","Y",NA,1,1910,"Yap Island","6, 2, 5, 14",NA,0,NA,NA,"1","Oceania","other subsistence combinations",NA,NA,NA,NA,NA,NA,"2, 3, 5, 6, 10, 13, 14, 17, 18, 19, 21",2
"48",112,1,4,20,9,0,2,"Ifugao","OA19",112,"32",NA,1,NA,"Ia03","Y",NA,1,1910,"Kiangan group","2, 3, 12, 1, 20, 4, 22",NA,0,NA,NA,"1","Oceania","intensive agriculturalists",NA,NA,NA,NA,NA,NA,"1, 2, 3, 4, 12, 20, 22",1
"49",121,1.95238095238095,1,20,7,0,2,"Chukchee","RY02",121,"24",NA,1,NA,"Ec03","Y",NA,1,1900,"Reindeer division, Eastern Siberia, Russia","1",NA,0,NA,NA,"1","Russia","pastoralists",NA,NA,NA,NA,NA,NA,"1, 2(partial)",2
"50",124,1.83333333333333,6,0,12,0,2,"Copper Inuit","ND08",124,"41",NA,1,NA,"Na03","Y",NA,1,1915,"Mainland division of Coronation Gulf","1, 29",NA,0,"N - PSF",NA,"1","North America","hunter-gatherers",NA,NA,NA,NA,NA,NA,"1, 2, 3, 4, 5, 6, 7, 9, 11, 13, 14, 15, 17, 18, 23, 24, 25, 26, 28, 29",1
"51",130,1,0,20,5,0,2,"Eyak","NA07",130,NA,NA,1,NA,"Nb05","Y",NA,1,1890,"Entirety, tribe","1, 3, 2",NA,0,NA,NA,"1","North America","hunter-gatherers",NA,NA,NA,NA,NA,NA,"1, 2(partial), 3(partial)",2
"52",138,1.5,2,0,4.5,0,2,"Klamath","NR10",138,"44",NA,1,NA,"Nc08","Y",NA,1,1860,"Entirety, tribe","7, 4, 1, 11, 10, 3, 12",NA,0,"N - PSF",NA,"1","North America","hunter-gatherers",NA,NA,NA,NA,NA,NA,"1(partial), 3, 4(partial), 7(partial), 10, 11, 12",1
"53",150,2,4,0,5,0,2,"Havasupai","NT14",150,NA,NA,1,NA,"Nd03",NA,NA,1,1918,"Entirety, tribe.","4, 1",NA,0,NA,NA,"1","North America","other subsistence combinations",NA,NA,NA,NA,NA,NA,"1, 4(partial)",1
"54",154,1,1,0,1,0,2,"Popoluca","NU30",154,NA,NA,1,NA,"Nj03","Y",NA,1,1940,"Town and environs of Soteapan","5, 3",NA,0,NA,NA,"1","North America","horticulturalists",NA,NA,NA,NA,NA,NA,"3, 5",2
"55",159,1,5,0,6,0,2,"Goajiro","SC13",159,NA,NA,1,NA,"Sb06","Y",NA,1,1947,"Not specified","7, 1, 2",NA,0,NA,NA,"1","South America","pastoralists",NA,NA,NA,NA,NA,NA,"1, 2, 6, 7(partial)",1
