"","ID","disaster_onset_avg_30","disaster_est_count_30_IA","normative_est_count_30_IA","allhazards_H9a_sev_exposure_30_IA","allhazards_nonfd_sev_exposure2_30_IA","cluster","OWC","eHRAF.Name","Region","DQ"
"112",167,NA,NA,NA,NA,NA,NA,"SQ19","Tukano","South America",NA
"113",168,NA,NA,NA,NA,NA,NA,"SD06","Chachi","South America",NA
"114",173,NA,NA,NA,NA,NA,NA,"SF21","Sirionó","South America",NA
"115",179,NA,NA,NA,NA,NA,NA,"SP26","Xavante","South America",NA
"116",181,NA,NA,NA,NA,NA,NA,"SM04","Guaraní","South America",NA
"117",185,NA,NA,NA,NA,NA,NA,"SH05","Tehuelche","South America",NA
"118",186,NA,NA,NA,NA,NA,NA,"SH06","Yahgan","South America",NA
"119",202,NA,NA,NA,NA,NA,NA,"AR07","Khasi","Asia",NA
"120",203,NA,NA,NA,NA,NA,NA,"AX04","Sinhalese","Asia",NA
"121",204,NA,NA,NA,NA,NA,NA,"EF06","Serbs","Europe",NA
"122",206,NA,NA,NA,NA,NA,NA,"FA16","Dogon","Africa",NA
"123",207,NA,NA,NA,NA,NA,NA,"MS14","Kanuri","Middle East",NA
"124",211,NA,NA,NA,NA,NA,NA,"NF06","Blackfoot","North America",NA
"125",212,NA,NA,NA,NA,NA,NA,"NM09","Iroquois","North America",NA
"126",213,NA,NA,NA,NA,NA,NA,"NT09","Hopi","North America",NA
"127",214,NA,NA,NA,NA,NA,NA,"NU33","Tarahumara","North America",NA
"128",218,NA,NA,NA,NA,NA,NA,"RV02","Yakut","Russia",NA
"129",219,NA,NA,NA,NA,NA,NA,"SC07","Kogi","South America",NA
"130",220,NA,NA,NA,NA,NA,NA,"SH04","Ona","South America",NA
"131",221,NA,NA,NA,NA,NA,NA,"SI07","Mataco","South America",NA
"132",223,NA,NA,NA,NA,NA,NA,"SP08","Bororo","South America",NA
