"SCCS ID","SOCIETY NAME","OWC","EA-SUB-PER","EA-GA","EA-HU","EA-FI","EA-AH","EA-AG","subsistence_domain","CAL1","CAL1A_scale_of_sub","CAL1B_frequency","CAL1C_gender","practiced","cooperation_present","EA_dependence"
NA,"Serbs","EF06","0,0,0,4,6",0,0,0,4,6,"FI",NA,NA,NA,NA,0,NA,0
NA,"Serbs","EF06","0,0,0,4,6",0,0,0,4,6,"AH",1,2,2,3,1,1,4
NA,"Serbs","EF06","0,0,0,4,6",0,0,0,4,6,"AG",1,2,2,NA,1,1,6
52,"Saami","EP04","0,2,2,6,0",0,2,2,6,0,"GA",NA,NA,NA,NA,0,NA,0
52,"Saami","EP04","0,2,2,6,0",0,2,2,6,0,"HU",NA,NA,NA,NA,NA,NA,2
52,"Saami","EP04","0,2,2,6,0",0,2,2,6,0,"FI",0,0,0,NA,1,0,2
52,"Saami","EP04","0,2,2,6,0",0,2,2,6,0,"AH",1,3,2,3,1,1,6
52,"Saami","EP04","0,2,2,6,0",0,2,2,6,0,"AG",NA,NA,NA,NA,0,NA,0
51,"Rural Irish","ER06","0,1,0,4,5",0,1,0,4,5,"GA",NA,NA,NA,NA,0,NA,0
51,"Rural Irish","ER06","0,1,0,4,5",0,1,0,4,5,"HU",NA,NA,NA,NA,NA,NA,1
51,"Rural Irish","ER06","0,1,0,4,5",0,1,0,4,5,"FI",NA,NA,NA,NA,0,NA,0
51,"Rural Irish","ER06","0,1,0,4,5",0,1,0,4,5,"AH",2,1,2,4,1,1,4
51,"Rural Irish","ER06","0,1,0,4,5",0,1,0,4,5,"AG",1,1,3,4,1,1,5
NA,"Highland Scots","ES10",NA,NA,NA,NA,NA,NA,"GA",NA,NA,NA,NA,NA,NA,NA
NA,"Highland Scots","ES10",NA,NA,NA,NA,NA,NA,"HU",NA,NA,NA,NA,NA,NA,NA
NA,"Highland Scots","ES10",NA,NA,NA,NA,NA,NA,"FI",2,2,3,5,1,1,NA
NA,"Highland Scots","ES10",NA,NA,NA,NA,NA,NA,"AH",2,2,NA,5,1,1,NA
NA,"Highland Scots","ES10",NA,NA,NA,NA,NA,NA,"AG",2,2,NA,5,1,1,NA
22,"Bambara","FA08","2,0,1,2,5",2,0,1,2,5,"GA",1,3,3,NA,1,1,2
22,"Bambara","FA08","2,0,1,2,5",2,0,1,2,5,"HU",1,3,3,NA,1,1,0
22,"Bambara","FA08","2,0,1,2,5",2,0,1,2,5,"FI",1,3,3,NA,1,1,1
22,"Bambara","FA08","2,0,1,2,5",2,0,1,2,5,"AH",0,0,0,NA,1,0,2
22,"Bambara","FA08","2,0,1,2,5",2,0,1,2,5,"AG",1,3,4,3,1,1,5
NA,"Dogon","FA16","2,0,0,2,6",2,0,0,2,6,"GA",NA,NA,NA,NA,NA,NA,2
NA,"Dogon","FA16","2,0,0,2,6",2,0,0,2,6,"HU",NA,NA,NA,NA,0,NA,0
NA,"Dogon","FA16","2,0,0,2,6",2,0,0,2,6,"FI",1,2,2,3,1,1,0
NA,"Dogon","FA16","2,0,0,2,6",2,0,0,2,6,"AH",NA,NA,NA,NA,NA,NA,2
NA,"Dogon","FA16","2,0,0,2,6",2,0,0,2,6,"AG",1,3,2,3,1,1,6
