ID,OWC.x,DQ,allhazards_est_count_30,allhazards_sev_exposure_30,disaster_sev_exposure_30,allhazards_H9a_sev_exposure_30,disaster_h9a_sev_exposure_30,fd3_est_count_30,allhazards_threat_est_count_30,allhazards_onset_avg_30,allhazards_pred_avg_30,normative_est_count_30,normative_onset_avg_30,normative_pred_avg_30,normative_severe_avg_30,normative_freq_30,disaster_threat_est_count_30,disaster_est_count_30,disaster_onset_avg_30,disaster_pred_avg_30,disaster_severe_avg_30,disaster_freq_30,normative_freq_30_IA,disaster_freq_30_IA,normative_est_count_30_IA,disaster_est_count_30_IA,disaster_threat_est_count_30_IA,allhazards_est_count_30_IA,fd3_est_count_30_IA,allhazards_threat_est_count_30_IA,allhazards_sev_exposure_30_IA,disaster_sev_exposure_30_IA,allhazards_H9a_sev_exposure_30_IA,disaster_h9a_sev_exposure_30_IA,SOCIETY NAME,OWC.y,EA-SUB-PER,GA-CAL1-R,GA-CAL1A-R,GA-CAL1B-R,GA-CAL1C-R,HU-CAL1-R,HU-CAL1A-R,HU-CAL1B-R,HU-CAL1C-R,FI-CAL1-R,FI-CAL1A-R,FI-CAL1B-R,FI-CAL1C-R,AH-CAL1-R,AH-CAL1A-R,AH-CAL1B-R,AH-CAL1C-R,AG-CAL1-R,AG-CAL1A-R,AG-CAL1B-R,AG-CAL1C-R,GA_practiced,HU_practiced,FI_practiced,AH_practiced,AG_practiced,GA-CAL1B-R_increasing,HU-CAL1B-R_increasing,FI-CAL1B-R_increasing,AH-CAL1B-R_increasing,AG-CAL1B-R_increasing,GA_pair,HU_pair,FI_pair,AH_pair,AG_pair,GA_ca_gt0,HU_ca_gt0,FI_ca_gt0,AH_ca_gt0,AG_ca_gt0,pair_coverage_count,ca_gt0_count,any_domain_pair,domain,EA_score,CAL1_score,ca_ea_pair_score,pair_domain
37,MP05,2,21,7,2,5,0,NA,NA,1.04761904761905,2.95238095238095,20,1,3,2,7,NA,1,2,2,4,3,7,3,20,1,0,21,0,0,7,2,5,0,Amhara,MP05,"0,0,1,3,6",0,0,0,0,0,0,0,0,NA,NA,NA,NA,2,3,1,NA,1,1.5,4,5,0,0,NA,1,1,0,0,NA,4,1,0,0,0,0,1,0,0,0,0,1,1,1,1,AG,6,1,6,AG
40,MS22,1,6,8,8,8,8,6,NA,1.66666666666667,1,NA,NA,NA,NA,NA,NA,6,1.66666666666667,1,3.33333333333333,5,1,5,0,6,0,6,6,0,8,8,8,8,Teda,MS22,"2,0,0,3,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,AG,5,0,0,AG
42,MX03,3,1,1,1,0,0,NA,NA,2,2,NA,NA,NA,NA,NA,NA,1,2,2,3,3,NA,3,NA,1,NA,1,NA,NA,1,1,0,0,Berbers of Morocco,MX03,"0,1,1,3,5",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,2.5,1.5,5,2,2.5,1.5,5,0,NA,NA,1,1,0,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,1,1,1,1,AG,5,2,10,AG
43,MR13,3,24,11,6,10,5,3,1,2,2.75,20,2,3,2,7,1,4,2,1.5,3.25,5,7,5,20,4,1,24,3,1,11,6,10,5,Fellahin,MR08,"0,0,1,3,6",0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,1.5,3.5,5,1,2.5,3.5,5,0,0,NA,1,1,0,0,NA,NA,NA,0,0,0,0,1,0,0,0,0,1,1,1,1,AG,6,1,6,AG
46,MD04,1,3,3.5,3,3.5,3,2,NA,1.66666666666667,1,NA,NA,NA,NA,NA,NA,2,1.5,1,3.5,4,1,4,0,2,0,3,2,0,3.5,3,3.5,3,Rwala Bedouin,MD04,"1,1,0,8,0",NA,NA,NA,NA,2,1,NA,5,0,0,0,0,1,2,1.5,5,0,0,0,0,NA,1,0,1,0,NA,NA,0,NA,0,0,0,0,1,0,0,0,0,1,0,1,1,1,AH,8,1,8,AH
51,ER06,3,22,6.5,1,1.5,1,1,NA,1.95238095238095,2.90909090909091,20,2,3,2,7,NA,1,NA,1,3,3,7,3,20,1,NA,22,1,NA,6.5,1,1.5,1,Rural Irish,ER06,"0,1,0,4,5",0,0,0,0,NA,NA,NA,NA,0,0,0,0,2,1,3,4,1,1,2,4,0,NA,0,1,1,0,NA,0,2,3,0,0,0,0,1,0,0,0,0,1,1,1,1,AG,5,1,5,AG
52,EP04,3,31,15.75,2.5,3.25,1.5,1,NA,1.96774193548387,2.48387096774194,20,2,3,2.5,7,NA,2,1.5,2,3.25,4,7,4,20,2,NA,31,1,NA,15.75,2.5,3.25,1.5,Saami,EP04,"0,2,2,6,0",0,0,0,0,NA,NA,NA,NA,0,0,0,0,1,3,3,3,0,0,0,0,0,NA,1,1,0,0,NA,0,2,0,0,0,0,1,0,0,0,0,1,0,1,1,1,AH,6,1,6,AH
54,RF10,2,24,7.25,1,0.25,0,NA,NA,2,2.70833333333333,20,2,3,2,7,NA,1,2,1,3,3,7,3,20,1,0,24,0,0,7.25,1,0.25,0,Russians,RF10,"0,0,0,3,7",0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,1,2.5,3,3,0,0,0,1,1,0,0,0,3,2,0,0,0,0,1,0,0,0,0,1,1,1,1,AG,7,1,7,AG
55,RI03,4,1,1,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,1,3,3,NA,3,NA,1,NA,1,1,NA,1,1,1,1,Abkhazians,RI03,"1,0,0,6,3",NA,NA,NA,NA,0,0,0,0,0,0,0,0,2,3,1,5,2,3,3,3,NA,1,0,1,1,NA,0,0,4,2,0,0,0,1,0,0,0,0,1,0,1,1,1,AH,6,2,12,AH
57,MA11,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kurds,MA11,"0,0,1,4,5",0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,3,1,3,1,2,3,3,0,0,NA,1,1,0,0,NA,4,2,0,0,0,0,1,0,0,0,0,1,1,1,1,AG,5,1,5,AG
